PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|71327724|BB923798|AC0844|ACT|3800|25|PAUL ST.|2|39|NCR|02459||5|3/19/2012 4:58:00 PM|31|D|6|4|4|0|Y|3|15000|2075
RN|71327728|K9503226|K01527|ACT|875|68|MYRTLE AVE|2|432||01570||5|1/16/2012 1:57:00 PM|31|D|6|3|1|0|Y|8|7.92|1497
RN|71327738|A0000401|A01501|ACT|1950|19|Newbury Drive|6|207||02359||14|1/17/2012 10:32:00 AM|16383|C|6|2|1|1|Y|1|0|1670
RN|71327740|A0000401|A01501|ACT|2900|Unit 22|Newbury Drive|22|207||02359||12|1/16/2012 2:12:00 PM|4095|C|6|3|2|1|Y|2|0|2190
RN|71327839|CT000375|C95243|ACT|2250|22|Main Street|0|323||01984||10|1/16/2012 5:16:00 PM|1023|A|5|2|2|0||6|41806|1267
RN|71327845|H4385760|H95700|ACT|800|127|Central St|1L|454||01453||3|1/18/2012 5:07:00 PM|7|D|4|2|1|0|N|1|6429|1100
RN|71327985|C8002942|C75000|ACT|4950|57|Beaver Pond Rd|57|319||01915||7|1/17/2012 10:00:00 AM|127|A|15|5|5|2|Y|10|174240|7250
RN|71327997|A0001116|A05307|ACT|1500|34|Buttonwood|1|213|SPY|02360||9|2/2/2012 2:21:00 PM|511|A|5|3|1|0|N|4|6970|1241
RN|71328004|TM002274|K95595|ACT|900|121|Whipple St|19|401|CLH|01610||6|1/21/2012 11:35:00 AM|63|C|4|2|1|0|N|2|0|785
RN|71328041|A9503396|A95602|ACT|2000|143 B|Pudding Hill|1|208|MFC|02050||6|1/17/2012 11:17:00 AM|63|A|7|4|1|0|N|4|16000|1200
RN|71328044|C5385009|C95260|ACT|1800|8|Crowninshield St|101|315||01960||7|1/17/2012 11:25:00 AM|127|C|4|2|2|0|Y|1|0|1194
RN|71328062|CT001408|BB9325|ACT|2600|346|Beacon St|1|1|101|02116||8|1/17/2012 11:46:00 AM|255|C|3|1|1|0||0|670|670
RN|71328151|TEAM0021|C80006|ACT|2500|5|Calebs Lane|1|327||01966||11|1/17/2012 1:57:00 PM|2047|A|9|5|2|0|U|4|16734|1500
RN|71328227|TEAM0330|D95087|ACT|895|87|Leonard|4|60||01719||8|3/9/2012 12:04:00 PM|255|C|4|2|1|0|N|2|0|714
RN|71328242|BB911018|BB9604|ACT|2700|7|MADISON AVE|1|13||02140||3|1/18/2012 10:02:00 AM|7|A|6|3|2|0||3|0|1700
RN|71328263|BB805807|NB1863|ACT|8500|2|Avery St|28D|1|108|02111||12|3/23/2012 10:30:00 AM|4095|C|5|2|2|1|Y|1|99999999|1596
RN|71328274|K8001213|K95416|ACT|1050|10|Wrentham Road|311|401|TAT|01602||6|1/17/2012 4:11:00 PM|63|C|5|2|2|0|Y|1|0|1239
RN|71328293|TEAM0371|K95491|ACT|1400|399|May Street|1|401||01602||10|1/18/2012 11:15:00 AM|1023|A|8|4|1|0||1|7432|2060
RN|71328343|BB300248|BB3540|ACT|3000|43|Algonquin Rd|43|23||02021||1|1/31/2012 10:42:00 AM|1|A|10|4|2|1|Y|6|31980|1982
RN|71328344|FR000768|FR0235|PCG|550|216|tremont St|2 west|161||02720||5|1/17/2012 8:55:00 PM|31|D|6|2|1|0||0|3900|900
RN|71328351|M8000632|M39600|ACT|1800|34|Pine|1|862||01085||6|1/18/2012 11:23:00 AM|63|A|6|4|1|0|N|3|27022|1700
RN|71328353|BB809233|B99241|ACT|1600|199|Forest St.|2|16||02155||16|1/17/2012 7:15:00 PM|65535|D|6|3|1|0||2|6357|1400
RN|71328359|BB981488|BB1591|EXT|1850|4A|ELIOT ST.|4A|50||01760||8|1/17/2012 7:35:00 PM|255|A|4|2|2|0||2|0|1100
